total_bill,tip,tip_p,sex,smoker,day,time,size
16.99,1.01,5.94,Female,No,Sun,Dinner,2
10.34,1.66,16.05,Male,No,Sun,Dinner,3
21.01,3.5,16.66,Male,No,Sun,Dinner,3
23.68,3.31,13.98,Male,No,Sun,Dinner,2
24.59,3.61,14.68,Female,No,Sun,Dinner,4
25.29,4.71,18.62,Male,No,Sun,Dinner,4
8.77,2,22.81,Male,No,Sun,Dinner,2
26.88,3.12,11.61,Male,No,Sun,Dinner,4
15.04,1.96,13.03,Male,No,Sun,Dinner,2
14.78,3.23,21.85,Male,No,Sun,Dinner,2
10.27,1.71,16.65,Male,No,Sun,Dinner,2
35.26,5,14.18,Female,No,Sun,Dinner,4
15.42,1.57,10.18,Male,No,Sun,Dinner,2
18.43,3,16.28,Male,No,Sun,Dinner,4
14.83,3.02,20.36,Female,No,Sun,Dinner,2
21.58,3.92,18.16,Male,No,Sun,Dinner,2
10.33,1.67,16.17,Female,No,Sun,Dinner,3
16.29,3.71,22.77,Male,No,Sun,Dinner,3
16.97,3.5,20.62,Female,No,Sun,Dinner,3
20.65,3.35,16.22,Male,No,Sat,Dinner,3
17.92,4.08,22.77,Male,No,Sat,Dinner,2
20.29,2.75,13.55,Female,No,Sat,Dinner,2
15.77,2.23,14.14,Female,No,Sat,Dinner,2
39.42,7.58,19.23,Male,No,Sat,Dinner,4
19.82,3.18,16.04,Male,No,Sat,Dinner,2
17.81,2.34,13.14,Male,No,Sat,Dinner,4
13.37,2,14.96,Male,No,Sat,Dinner,2
12.69,2,15.76,Male,No,Sat,Dinner,2
21.7,4.3,19.82,Male,No,Sat,Dinner,2
19.65,3,15.27,Female,No,Sat,Dinner,2
9.55,1.45,15.18,Male,No,Sat,Dinner,2
18.35,2.5,13.62,Male,No,Sat,Dinner,4
15.06,3,19.92,Female,No,Sat,Dinner,2
20.69,2.45,11.84,Female,No,Sat,Dinner,4
17.78,3.27,18.39,Male,No,Sat,Dinner,2
24.06,3.6,14.96,Male,No,Sat,Dinner,3
16.31,2,12.26,Male,No,Sat,Dinner,3
16.93,3.07,18.13,Female,No,Sat,Dinner,3
18.69,2.31,12.36,Male,No,Sat,Dinner,3
31.27,5,15.99,Male,No,Sat,Dinner,3
